23 80
###############################################################################
#                                                                             #
#                                                                             #
#                                                                             #
#                                                                             #
#                                                                             #
#                                                                             #
#                                                                             #
##### ***     *                                                           #####
    #                                                                     #    
#####                *                                                    #####
                                                                               
#####         *                                                           #####
    #                                                                     #    
#####                                                                     #####
#                                                                             #
#                                                                             #
#                                                                             #
#                                                                             #
#  #                                                                          #
#  #                                                                          #
#  #                                                                          #
###############################################################################
